単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
0.5単位,水2,週間授業(学期後半),清水　一郎／岩野　耕治／田中　雅次／中川　惠友／桑木　賢也／中井　賢治／吉田　浩治／關　正憲／近藤　千尋／林　良太／寺野　元規／竹村　明洋,F01381 専門英語ⅠＢ (機シ・工プ)(後半),3,2025年度春学期,12
2.0単位,水2,週間授業,清水　一郎／岩野　耕治／田中　雅次／中川　惠友／桑木　賢也／中井　賢治／吉田　浩治／關　正憲／近藤　千尋／林　良太／寺野　元規／竹村　明洋,F01382 専門英語 (機シ・工プ),3,2025年度春学期,13
1.0単位,水3,週間授業(学期後半),若松　寛,F01450 化学英語ⅠＢ (化学)(後半)〔3年;2年Sコース〕,3,2025年度春学期,14
0.5単位,水3,週間授業(学期前半),川本　大祐,F01480 専門英語ⅡＡ (化学)(前半)〔3年;2年Sコース〕,3,2025年度秋学期,15
1.0単位,水3,週間授業(学期前半),川本　大祐,F01481 化学英語ⅡＡ (化学)(前半)〔3年;2年Sコース〕,3,2025年度秋学期,16
0.5単位,水1,週間授業(学期前半),井上　雅照,F01500 専門英語ⅡＡ (応数)(前半),3,2025年度秋学期,17
0.5単位,水2,週間授業(学期前半),中井　賢治／岩野　耕治／田中　雅次／中川　惠友／桑木　賢也／吉田　浩治／關　正憲／近藤　千尋／清水　一郎／林　良太／寺野　元規／竹村　明洋,F01530 専門英語ⅡＡ (機シ)(前半)（再）,3,2025年度秋学期,18
0.5単位,水3,週間授業(学期後半),大坂　昇／酒井　誠,F01610 専門英語ⅡＢ (化学)(後半)〔3年;2年Sコース〕,3,2025年度秋学期,19
1.0単位,水3,週間授業(学期後半),大坂　昇／酒井　誠,F01611 化学英語ⅡＢ (化学)(後半)〔3年;2年Sコース〕,3,2025年度秋学期,20
0.5単位,水1,週間授業(学期後半),井上　雅照,F01630 専門英語ⅡＢ (応数)(後半),3,2025年度秋学期,21
0.5単位,水2,週間授業(学期後半),中井　賢治／岩野　耕治／田中　雅次／中川　惠友／桑木　賢也／吉田　浩治／關　正憲／近藤　千尋／清水　一郎／林　良太／寺野　元規／竹村　明洋,F01660 専門英語ⅡＢ (機シ)(後半)（再）,3,2025年度秋学期,22
1.0単位,水1,週間授業(学期前半),西　敏明／松浦　洋司,F02590 経営工学Ａ (前半)工学部,3,2025年度春学期,23
1.0単位,水1,週間授業(学期後半),西　敏明／松浦　洋司,F02591 経営工学Ｂ (後半)工学部,3,2025年度春学期,24
2.0単位,水1,週間授業,西　敏明／松浦　洋司,F02592 経営工学 工学部,3,2025年度春学期,25
1.0単位,水1,週間授業(学期前半),西　敏明／松浦　洋司,F02600 経営工学Ａ (前半)工学部,3,2025年度秋学期,26
1.0単位,水1,週間授業(学期後半),西　敏明／松浦　洋司,F02601 経営工学Ｂ (後半)工学部,3,2025年度秋学期,27
2.0単位,水1,週間授業,西　敏明／松浦　洋司,F02602 経営工学 工学部,3,2025年度秋学期,28
1.0単位,水3,週間授業(学期前半),江島　和彦／松浦　洋司,F02610 技術マネジメントＡ (前半)工学部,3,2025年度春学期,29
1.0単位,水3,週間授業(学期後半),江島　和彦／松浦　洋司,F02611 技術マネジメントＢ (後半)工学部,3,2025年度春学期,30
2.0単位,水3,週間授業,江島　和彦／松浦　洋司,F02612 技術マネジメント,3,2025年度春学期,31
1.0単位,水3,週間授業(学期前半),江島　和彦／松浦　洋司,F02613 技術マネジメントＡ (前半)電シ,3,2025年度春学期,32
1.0単位,水3,週間授業(学期後半),江島　和彦／松浦　洋司,F02614 技術マネジメントＢ (後半)電シ,3,2025年度春学期,33
2.0単位,水2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02700 フレッシュマンセミナー アクティブ,3,2025年度春学期,34
2.0単位,水2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02920 フレッシュマンセミナー 情報理工・知能・情科,3,2025年度春学期,35
2.0単位,水2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02930 フレッシュマンセミナー 情報理工（再履修用）,3,2025年度春学期,36
2.0単位,水2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F02960 フレッシュマンセミナー 情科（再履修用）,3,2025年度春学期,37
2.0単位,水2,週間授業,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,F03060 フレッシュマンセミナー 知能（再履修用）,3,2025年度春学期,38
2.0単位,水1,週間授業,秦　敬治,F03290 セルフ・アウェアネス,3,2025年度春学期,39
2.0単位,水4,週間授業,中山　紘之,F03360 アサーティブ・コミュニケーション,3,2025年度春学期,40
1.0単位,水4,週間授業(学期前半),中山　紘之,F03361 アサーティブ・コミュニケーション入門 (前半),3,2025年度春学期,41
1.0単位,水4,週間授業(学期後半),中山　紘之,F03362 アサーティブ・コミュニケーション実践 (後半),3,2025年度春学期,42
2.0単位,水4,週間授業,中山　紘之,F03380 アサーティブ・コミュニケーション,3,2025年度秋学期,43
2.0単位,水1,週間授業,秦　敬治,F03450 ライフ・ビルディング,3,2025年度秋学期,44
2.0単位,水3,週間授業,飯田　哲司,F03760 キャリア形成論,3,2025年度春学期,45
1.0単位,水3,週間授業(学期前半),飯田　哲司,F03761 キャリア形成講座Ａ (前半),3,2025年度春学期,46
1.0単位,水3,週間授業(学期後半),飯田　哲司,F03762 キャリア形成講座Ｂ (後半),3,2025年度春学期,47
2.0単位,水4,週間授業,飯田　哲司,F03780 キャリア形成論,3,2025年度春学期,48
1.0単位,水4,週間授業(学期前半),飯田　哲司,F03781 キャリア形成講座Ａ (前半),3,2025年度春学期,49
1.0単位,水4,週間授業(学期後半),飯田　哲司,F03782 キャリア形成講座Ｂ (後半),3,2025年度春学期,50
2.0単位,水3,週間授業,飯田　哲司,F03820 キャリア形成論,3,2025年度秋学期,51
1.0単位,水3,週間授業(学期前半),飯田　哲司,F03821 キャリア形成講座Ａ (前半),3,2025年度秋学期,52
1.0単位,水3,週間授業(学期後半),飯田　哲司,F03822 キャリア形成講座Ｂ (後半),3,2025年度秋学期,53
2.0単位,水4,週間授業,飯田　哲司,F03840 キャリア形成論,3,2025年度秋学期,54
1.0単位,水4,週間授業(学期前半),飯田　哲司,F03841 キャリア形成講座Ａ (前半),3,2025年度秋学期,55
1.0単位,水4,週間授業(学期後半),飯田　哲司,F03842 キャリア形成講座Ｂ (後半),3,2025年度秋学期,56
2.0単位,水4,週間授業,藤木　利之／坂本　直文／河野　敏行／石田　弘樹,F03890 企業情報特論,3,2025年度春学期,57
1.0単位,水4,週間授業(学期前半),藤木　利之／坂本　直文／河野　敏行／石田　弘樹,F03891 企業情報特論Ａ (前半),3,2025年度春学期,58
1.0単位,水4,週間授業(学期後半),藤木　利之／坂本　直文／河野　敏行／石田　弘樹,F03892 企業情報特論Ｂ (後半),3,2025年度春学期,59
1.0単位,水4,週間授業(学期前半),齊藤　尚志／石田　弘樹,F03900 インターンシップ入門 (前半)齊藤尚志他〔2年次以上〕,3,2025年度春学期,60
1.0単位,水5,週間授業(学期前半),齊藤　尚志／石田　弘樹,F03910 インターンシップ入門 (前半)齊藤尚志他〔2年次以上〕,3,2025年度春学期,61
1.0単位,水4,週間授業(学期後半),松田　周司／石田　弘樹,F03920 インターンシップ入門 (後半)松田周司他〔2年次以上〕,3,2025年度春学期,62
1.0単位,水5,週間授業(学期後半),松田　周司／石田　弘樹,F03930 インターンシップ入門 (後半)松田周司他〔2年次以上〕,3,2025年度春学期,63
1.0単位,水4,週間授業(学期後半),齊藤　尚志／石田　弘樹,F03940 インターンシップ入門 (後半)齊藤尚志他,3,2025年度秋学期,64
1.0単位,水4,週間授業(学期後半),松田　周司／石田　弘樹,F03950 インターンシップ入門 (後半)松田周司他,3,2025年度秋学期,65
1.0単位,水2,週間授業,長田　千順,F04080 フィットネス,3,2025年度春学期,66
1.0単位,水3,週間授業,長田　千順,F04090 フィットネス,3,2025年度春学期,67
1.0単位,水2,週間授業,長田　千順,F04120 フィットネス,3,2025年度秋学期,68
1.0単位,水3,週間授業,長田　千順,F04130 フィットネス,3,2025年度秋学期,69
2.0単位,水1,週間授業,石原　勇次郎,F04410 健康の科学,3,2025年度秋学期,70
2.0単位,水2,週間授業,中畑　里英,F04420 健康の科学,3,2025年度秋学期,71
1.0単位,水3,週間授業,西村　次郎,F04560 生涯スポーツ,3,2025年度春学期,72
1.0単位,水4,週間授業,西村　次郎,F04570 生涯スポーツ,3,2025年度春学期,73
1.0単位,水2,週間授業,齋藤　智美,F04690 生涯スポーツ,3,2025年度秋学期,74
1.0単位,水3,週間授業,西村　次郎,F04700 生涯スポーツ,3,2025年度秋学期,75
1.0単位,水4,週間授業,西村　次郎,F04710 生涯スポーツ,3,2025年度秋学期,76
1.0単位,水1,週間授業,吉田　升,F04800 生涯スポーツ,3,2025年度春学期,77
1.0単位,水2,週間授業,吉田　升,F04810 生涯スポーツ,3,2025年度春学期,78
2.0単位,水1,週間授業,林　美帆,F04840 人間を読みとくＡ （ジェンダー論）林美帆,3,2025年度春学期,79
2.0単位,水3,週間授業,林　美帆,F04850 人間を読みとくＡ （ジェンダー論）,3,2025年度秋学期,80
2.0単位,水3,週間授業,林　美帆,F04860 人間を読みとくＡ （ジェンダー論）,3,2025年度春学期,81
2.0単位,水4,週間授業,春風亭　昇吉,F04880 人間を読みとくＡ （人生が愉しくなる落語学）,3,2025年度秋学期,82
2.0単位,水5,週間授業,春風亭　昇吉,F04890 人間を読みとくＡ （人生が愉しくなる落語学）,3,2025年度秋学期,83
2.0単位,水1,週間授業,堀田　和義,F04910 人間を読みとくＡ （哲学）堀田和義,3,2025年度春学期,84
2.0単位,水2,週間授業,林　美帆,F05200 文化を読みとくＡ （日本史）林美帆,3,2025年度秋学期,85
2.0単位,水2,週間授業,世良　利和,F05230 文化を読みとくＡ （比較文化論）,3,2025年度春学期,86
1.0単位,水2,週間授業(学期前半),世良　利和,F05231 比較文化論Ａ (前半)（比較文化論）,3,2025年度春学期,87
1.0単位,水2,週間授業(学期後半),世良　利和,F05232 比較文化論Ｂ (後半)（比較文化論）,3,2025年度春学期,88
2.0単位,水2,週間授業,世良　利和,F05250 文化を読みとくＡ （比較文化論）世良利和,3,2025年度秋学期,89
1.0単位,水2,週間授業(学期前半),世良　利和,F05251 比較文化論Ａ (前半)（比較文化論）世良利和,3,2025年度秋学期,90
1.0単位,水2,週間授業(学期後半),世良　利和,F05252 比較文化論Ｂ (後半)（比較文化論）世良利和,3,2025年度秋学期,91
2.0単位,水1,週間授業,三阪　一徳,F05350 文化を読みとくＢ （考古学）,3,2025年度春学期,92
1.0単位,水1,週間授業(学期前半),三阪　一徳,F05351 考古学Ａ (前半)（考古学）,3,2025年度春学期,93
1.0単位,水1,週間授業(学期後半),三阪　一徳,F05352 考古学Ｂ (後半)（考古学）,3,2025年度春学期,94
2.0単位,水4,週間授業,小松原　貢／斎藤　章一朗,F05370 社会を読みとくＡ （ニュース理解）,3,2025年度春学期,95
1.0単位,水4,週間授業(学期前半),小松原　貢／斎藤　章一朗,F05371 ニュース理解Ａ (前半)（ニュース理解）,3,2025年度春学期,96
1.0単位,水4,週間授業(学期後半),小松原　貢／斎藤　章一朗,F05372 ニュース理解Ｂ (後半)（ニュース理解）,3,2025年度春学期,97
2.0単位,水2,週間授業,辻　維周,F05420 社会を読みとくＡ （環境と社会）,3,2025年度春学期,98
1.0単位,水2,週間授業(学期前半),辻　維周,F05421 環境と社会Ａ (前半)（環境と社会）,3,2025年度春学期,99
1.0単位,水2,週間授業(学期後半),辻　維周,F05422 環境と社会Ｂ (後半)（環境と社会）,3,2025年度春学期,0
2.0単位,水3,週間授業,辻　維周,F05430 社会を読みとくＡ （環境と社会）辻維周,3,2025年度春学期,1
1.0単位,水3,週間授業(学期前半),辻　維周,F05431 環境と社会Ａ (前半)（環境と社会）辻維周,3,2025年度春学期,2
1.0単位,水3,週間授業(学期後半),辻　維周,F05432 環境と社会Ｂ (後半)（環境と社会）辻維周,3,2025年度春学期,3
2.0単位,水2,週間授業,辻　維周,F05440 社会を読みとくＡ （環境と社会）,3,2025年度秋学期,4
1.0単位,水2,週間授業(学期前半),辻　維周,F05441 環境と社会Ａ (前半)（環境と社会）,3,2025年度秋学期,5
1.0単位,水2,週間授業(学期後半),辻　維周,F05442 環境と社会Ｂ (後半)（環境と社会）,3,2025年度秋学期,6
2.0単位,水3,週間授業,辻　維周,F05450 社会を読みとくＡ （環境と社会）辻維周,3,2025年度秋学期,7
1.0単位,水3,週間授業(学期前半),辻　維周,F05451 環境と社会Ａ (前半)（環境と社会）辻維周,3,2025年度秋学期,8
1.0単位,水3,週間授業(学期後半),辻　維周,F05452 環境と社会Ｂ (後半)（環境と社会）辻維周,3,2025年度秋学期,9
2.0単位,水3,週間授業,平田　豊／藤原　佐千子,F05500 社会を読みとくＡ （社会に潜む罠を知る）平田豊,3,2025年度春学期,10
1.0単位,水3,週間授業(学期前半),平田　豊／藤原　佐千子,F05501 政治学Ａ (前半)（社会に潜む罠を知る）平田豊,3,2025年度春学期,11
1.0単位,水3,週間授業(学期後半),平田　豊／藤原　佐千子,F05502 政治学Ｂ (後半)（社会に潜む罠を知る）平田豊,3,2025年度春学期,12
2.0単位,水3,週間授業,平田　豊,F05510 社会を読みとくＡ （社会に潜む罠を知る）平田豊,3,2025年度秋学期,13
1.0単位,水3,週間授業(学期前半),平田　豊,F05511 政治学Ａ (前半)（社会に潜む罠を知る）平田豊,3,2025年度秋学期,14
1.0単位,水3,週間授業(学期後半),平田　豊,F05512 政治学Ｂ (後半)（社会に潜む罠を知る）平田豊,3,2025年度秋学期,15
2.0単位,水3,週間授業,世良　利和,F05570 社会を読みとくＢ （ボランティア論）,3,2025年度春学期,16
1.0単位,水3,週間授業(学期前半),世良　利和,F05571 ボランティア論Ａ (前半)（ボランティア論）,3,2025年度春学期,17
1.0単位,水3,週間授業(学期後半),世良　利和,F05572 ボランティア論Ｂ (後半)（ボランティア論）,3,2025年度春学期,18
2.0単位,水4,週間授業,世良　利和,F05580 社会を読みとくＢ （ボランティア論）,3,2025年度春学期,19
1.0単位,水4,週間授業(学期前半),世良　利和,F05581 ボランティア論Ａ (前半)（ボランティア論）,3,2025年度春学期,20
1.0単位,水4,週間授業(学期後半),世良　利和,F05582 ボランティア論Ｂ (後半)（ボランティア論）,3,2025年度春学期,21
2.0単位,水3,週間授業,世良　利和,F05590 社会を読みとくＢ （ボランティア論）,3,2025年度秋学期,22
1.0単位,水3,週間授業(学期前半),世良　利和,F05591 ボランティア論Ａ (前半)（ボランティア論）,3,2025年度秋学期,23
1.0単位,水3,週間授業(学期後半),世良　利和,F05592 ボランティア論Ｂ (後半)（ボランティア論）,3,2025年度秋学期,24
2.0単位,水4,週間授業,世良　利和,F05600 社会を読みとくＢ （ボランティア論）,3,2025年度秋学期,25
1.0単位,水4,週間授業(学期前半),世良　利和,F05601 ボランティア論Ａ (前半)（ボランティア論）,3,2025年度秋学期,26
1.0単位,水4,週間授業(学期後半),世良　利和,F05602 ボランティア論Ｂ (後半)（ボランティア論）,3,2025年度秋学期,27
2.0単位,水2,週間授業,大熊　一正,F05760 データを読みとく 大熊 一正,3,2025年度秋学期,28
2.0単位,水2,週間授業,奥村　英則,F05790 データを読みとく 奥村 英則,3,2025年度秋学期,29
2.0単位,水2,週間授業,安田　貴徳,F05800 データを読みとく 安田 貴徳,3,2025年度秋学期,30
2.0単位,水2,週間授業,小野　舞子,F05820 データを読みとく 小野 舞子,3,2025年度秋学期,31
2.0単位,水2,週間授業,平松　直哉,F05830 データを読みとく 平松 直哉,3,2025年度秋学期,32
2.0単位,水1,週間授業,安田　貴徳／青木　一勝／重松　利信,F05930 自然を読みとく （数学・地学・物理から自然を読みとく）,3,2025年度春学期,33
2.0単位,水2,週間授業,青木　宏之,F06600 基盤化学１ 青木 宏之,3,2025年度春学期,34
2.0単位,水2,週間授業,青木　宏之,F06601 化学基礎論Ⅰ 青木 宏之,3,2025年度春学期,35
2.0単位,水1,週間授業,高原　周一,F06610 基盤化学１ 高原 周一,3,2025年度春学期,36
2.0単位,水1,週間授業,高原　周一,F06611 化学基礎論Ⅰ 高原 周一,3,2025年度春学期,37
2.0単位,水1,週間授業,青木　宏之,F06630 基盤化学２ 青木 宏之,3,2025年度秋学期,38
2.0単位,水1,週間授業,青木　宏之,F06631 化学基礎論Ⅱ 青木 宏之,3,2025年度秋学期,39
2.0単位,水2,週間授業,内貴　猛,F07000 情報リテラシー,3,2025年度春学期,40
2.0単位,水1,週間授業,内貴　猛,F07010 コンピュータ演習,3,2025年度秋学期,41
2.0単位,水1,週間授業,杉山　正二,F07060 基礎英語 杉山正二,3,2025年度春学期,42
2.0単位,水1,週間授業,西川　憲一,F07070 基礎英語 西川憲一,3,2025年度春学期,43
2.0単位,水1,週間授業,大竹　みしず,F07180 基盤英語（初級）,3,2025年度秋学期,44
2.0単位,水1,週間授業,杉山　正二,F07330 基盤英語（準中級） 杉山正二,3,2025年度秋学期,45
2.0単位,水1,週間授業,太田　由佳,F07340 基盤英語（準中級） 太田由佳,3,2025年度秋学期,46
2.0単位,水2,週間授業,杉山　正二,F07350 基盤英語（初級）,3,2025年度秋学期,47
2.0単位,水2,週間授業,太田　由佳,F07360 基盤英語（準中級） 太田由佳,3,2025年度秋学期,48
2.0単位,水2,週間授業,大竹　みしず,F07430 基盤英語（準中級） 大竹みしず,3,2025年度秋学期,49
2.0単位,水1,週間授業,バーデン　京子,F07550 基盤英語（中級）,3,2025年度秋学期,50
2.0単位,水2,週間授業,バーデン　京子,F07560 基盤英語（中級） バーデン京子,3,2025年度秋学期,51
2.0単位,水2,週間授業,松岡　由美子,F07570 基盤英語（中級） 松岡由美子,3,2025年度秋学期,52
2.0単位,水1,週間授業,デイビッド　ニール,F07710 基盤英語（上級）,3,2025年度秋学期,53
2.0単位,水2,週間授業,デイビッド　ニール,F07720 基盤英語（上級）,3,2025年度秋学期,54
2.0単位,水1,週間授業,デイビッド　ニール,F07860 基礎英会話 デイビッド ニール,3,2025年度春学期,55
2.0単位,水2,週間授業,デイビッド　ニール,F07870 基礎英会話 デイビッド ニール,3,2025年度春学期,56
2.0単位,水3,週間授業,フィリップ　ガジオン,F07900 基礎英会話 フィリップ ガジオン,3,2025年度春学期,57
2.0単位,水4,週間授業,フィリップ　ガジオン,F07910 基礎英会話 フィリップ ガジオン,3,2025年度春学期,58
2.0単位,水3,週間授業,フィリップ　ガジオン,F07920 基礎英会話 フィリップ ガジオン,3,2025年度秋学期,59
2.0単位,水4,週間授業,フィリップ　ガジオン,F07930 基礎英会話 フィリップ ガジオン,3,2025年度秋学期,60
2.0単位,水4,週間授業,上仲　律子,F08060 検定英語（初級） 上仲律子,3,2025年度秋学期,61
2.0単位,水3,週間授業,松岡　由美子,F08120 検定英語（初級） 松岡由美子,3,2025年度春学期,62
2.0単位,水3,週間授業,松岡　由美子,F08130 検定英語（初級）,3,2025年度秋学期,63
2.0単位,水2,週間授業,石田　美佐江,F08140 検定英語（初級） 石田美佐江,3,2025年度春学期,64
2.0単位,水2,週間授業,石田　美佐江,F08180 検定英語（初級） 石田美佐江,3,2025年度秋学期,65
2.0単位,水3,週間授業,西川　憲一,F08230 英語で文化 西川憲一,3,2025年度秋学期,66
2.0単位,水2,週間授業,ジェーン　オハロラン,F08240 英語コミュニケーション ジェーン オハロラン,3,2025年度春学期,67
2.0単位,水2,週間授業,ジェーン　オハロラン,F08290 英語コミュニケーション ジェーン オハロラン,3,2025年度秋学期,68
2.0単位,水1,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08330 英語コミュニケーション ジエイソン ベイデンメン,3,2025年度春学期,69
2.0単位,水3,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08340 英語コミュニケーション ジエイソン ベイデンメン,3,2025年度春学期,70
2.0単位,水1,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08400 英語コミュニケーション ジエイソン ベイデンメン,3,2025年度秋学期,71
2.0単位,水3,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08410 英語コミュニケーション ジエイソン ベイデンメン,3,2025年度秋学期,72
2.0単位,水1,週間授業,入江　祐加,F08450 初修外国語１ ドイツ語 入江 祐加,3,2025年度春学期,73
0.5単位,水1,週間授業(学期前半),入江　祐加,F08451 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,3,2025年度春学期,74
0.5単位,水1,週間授業(学期後半),入江　祐加,F08452 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,3,2025年度春学期,75
2.0単位,水2,週間授業,入江　祐加,F08460 初修外国語１ ドイツ語 入江 祐加,3,2025年度春学期,76
0.5単位,水2,週間授業(学期前半),入江　祐加,F08461 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,3,2025年度春学期,77
0.5単位,水2,週間授業(学期後半),入江　祐加,F08462 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,3,2025年度春学期,78
2.0単位,水2,週間授業,入江　祐加,F08510 初修外国語１ ドイツ語 入江 祐加,3,2025年度秋学期,79
0.5単位,水2,週間授業(学期前半),入江　祐加,F08511 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,3,2025年度秋学期,80
0.5単位,水2,週間授業(学期後半),入江　祐加,F08512 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,3,2025年度秋学期,81
2.0単位,水3,週間授業,三木　恒治,F08520 初修外国語１ ドイツ語 三木 恒治,3,2025年度春学期,82
0.5単位,水3,週間授業(学期前半),三木　恒治,F08521 ドイツ語ⅠＡ (前半)ドイツ語 三木 恒治,3,2025年度春学期,83
0.5単位,水3,週間授業(学期後半),三木　恒治,F08522 ドイツ語ⅠＢ (後半)ドイツ語 三木 恒治,3,2025年度春学期,84
2.0単位,水3,週間授業,崔　ソヒョン,F08540 初修外国語１ ハングル 崔 ソヒョン,3,2025年度春学期,85
0.5単位,水3,週間授業(学期前半),崔　ソヒョン,F08541 ハングルⅠＡ (前半)ハングル 崔 ソヒョン,3,2025年度春学期,86
0.5単位,水3,週間授業(学期後半),崔　ソヒョン,F08542 ハングルⅠＢ (後半)ハングル 崔 ソヒョン,3,2025年度春学期,87
2.0単位,水4,週間授業,崔　ソヒョン,F08550 初修外国語１ ハングル 崔 ソヒョン,3,2025年度春学期,88
0.5単位,水4,週間授業(学期前半),崔　ソヒョン,F08551 ハングルⅠＡ (前半)ハングル 崔 ソヒョン,3,2025年度春学期,89
0.5単位,水4,週間授業(学期後半),崔　ソヒョン,F08552 ハングルⅠＢ (後半)ハングル 崔 ソヒョン,3,2025年度春学期,90
2.0単位,水3,週間授業,崔　ソヒョン,F08560 初修外国語１ ハングル 崔 ソヒョン,3,2025年度秋学期,91
0.5単位,水3,週間授業(学期前半),崔　ソヒョン,F08561 ハングルⅠＡ (前半)ハングル 崔 ソヒョン,3,2025年度秋学期,92
0.5単位,水3,週間授業(学期後半),崔　ソヒョン,F08562 ハングルⅠＢ (後半)ハングル 崔 ソヒョン,3,2025年度秋学期,93
2.0単位,水1,週間授業,柳　枝青,F08620 初修外国語１ ハングル 柳 枝青,3,2025年度春学期,94
0.5単位,水1,週間授業(学期前半),柳　枝青,F08621 ハングルⅠＡ (前半)ハングル 柳 枝青,3,2025年度春学期,95
0.5単位,水1,週間授業(学期後半),柳　枝青,F08622 ハングルⅠＢ (後半)ハングル 柳 枝青,3,2025年度春学期,96
2.0単位,水2,週間授業,柳　枝青,F08630 初修外国語１ ハングル 柳 枝青,3,2025年度春学期,97
0.5単位,水2,週間授業(学期前半),柳　枝青,F08631 ハングルⅠＡ (前半)ハングル 柳 枝青,3,2025年度春学期,98
0.5単位,水2,週間授業(学期後半),柳　枝青,F08632 ハングルⅠＢ (後半)ハングル 柳 枝青,3,2025年度春学期,99
2.0単位,水1,週間授業,柳　枝青,F08660 初修外国語１ ハングル 柳 枝青,3,2025年度秋学期,0
0.5単位,水1,週間授業(学期前半),柳　枝青,F08661 ハングルⅠＡ (前半)ハングル 柳 枝青,3,2025年度秋学期,1
0.5単位,水1,週間授業(学期後半),柳　枝青,F08662 ハングルⅠＢ (後半)ハングル 柳 枝青,3,2025年度秋学期,2
2.0単位,水2,週間授業,柳　枝青,F08670 初修外国語１ ハングル 柳 枝青,3,2025年度秋学期,3
0.5単位,水2,週間授業(学期前半),柳　枝青,F08671 ハングルⅠＡ (前半)ハングル 柳 枝青,3,2025年度秋学期,4
0.5単位,水2,週間授業(学期後半),柳　枝青,F08672 ハングルⅠＢ (後半)ハングル 柳 枝青,3,2025年度秋学期,5
2.0単位,水3,週間授業,藤野　薫,F08730 初修外国語１ フランス語 藤野 薫,3,2025年度春学期,6
0.5単位,水3,週間授業(学期前半),藤野　薫,F08731 フランス語ⅠＡ (前半)フランス語 藤野 薫,3,2025年度春学期,7
0.5単位,水3,週間授業(学期後半),藤野　薫,F08732 フランス語ⅠＢ (後半)フランス語 藤野 薫,3,2025年度春学期,8
2.0単位,水4,週間授業,藤野　薫,F08740 初修外国語１ フランス語 藤野 薫,3,2025年度春学期,9
0.5単位,水4,週間授業(学期前半),藤野　薫,F08741 フランス語ⅠＡ (前半)フランス語 藤野 薫,3,2025年度春学期,10
0.5単位,水4,週間授業(学期後半),藤野　薫,F08742 フランス語ⅠＢ (後半)フランス語 藤野 薫,3,2025年度春学期,11
2.0単位,水3,週間授業,藤野　薫,F08750 初修外国語１ フランス語 藤野 薫,3,2025年度秋学期,12
0.5単位,水3,週間授業(学期前半),藤野　薫,F08751 フランス語ⅠＡ (前半)フランス語 藤野 薫,3,2025年度秋学期,13
0.5単位,水3,週間授業(学期後半),藤野　薫,F08752 フランス語ⅠＢ (後半)フランス語 藤野 薫,3,2025年度秋学期,14
2.0単位,水3,週間授業,支　洪涛,F08770 初修外国語１ 中国語 支 洪涛,3,2025年度春学期,15
0.5単位,水3,週間授業(学期前半),支　洪涛,F08771 中国語ⅠＡ (前半)中国語 支 洪涛,3,2025年度春学期,16
0.5単位,水3,週間授業(学期後半),支　洪涛,F08772 中国語ⅠＢ (後半)中国語 支 洪涛,3,2025年度春学期,17
2.0単位,水4,週間授業,支　洪涛,F08780 初修外国語１ 中国語 支 洪涛,3,2025年度春学期,18
0.5単位,水4,週間授業(学期前半),支　洪涛,F08781 中国語ⅠＡ (前半)中国語 支 洪涛,3,2025年度春学期,19
0.5単位,水4,週間授業(学期後半),支　洪涛,F08782 中国語ⅠＢ (後半)中国語 支 洪涛,3,2025年度春学期,20
2.0単位,水3,週間授業,支　洪涛,F08790 初修外国語１ 中国語 支 洪涛,3,2025年度秋学期,21
0.5単位,水3,週間授業(学期前半),支　洪涛,F08791 中国語ⅠＡ (前半)中国語 支 洪涛,3,2025年度秋学期,22
0.5単位,水3,週間授業(学期後半),支　洪涛,F08792 中国語ⅠＢ (後半)中国語 支 洪涛,3,2025年度秋学期,23
2.0単位,水1,週間授業,楊　霊琳,F08830 初修外国語１ 中国語 楊 霊琳,3,2025年度春学期,24
0.5単位,水1,週間授業(学期前半),楊　霊琳,F08831 中国語ⅠＡ (前半)中国語 楊 霊琳,3,2025年度春学期,25
0.5単位,水1,週間授業(学期後半),楊　霊琳,F08832 中国語ⅠＢ (後半)中国語 楊 霊琳,3,2025年度春学期,26
2.0単位,水1,週間授業,楊　霊琳,F08860 初修外国語１ 中国語 楊 霊琳,3,2025年度秋学期,27
0.5単位,水1,週間授業(学期前半),楊　霊琳,F08861 中国語ⅠＡ (前半)中国語 楊 霊琳,3,2025年度秋学期,28
0.5単位,水1,週間授業(学期後半),楊　霊琳,F08862 中国語ⅠＢ (後半)中国語 楊 霊琳,3,2025年度秋学期,29
