単位数,曜日時限,開講区分,担当教員,授業科目,曜日,開講年度学期,row_index
2.0単位,月1,週間授業,豊田　新,F06450 基盤物理学１ 豊田 新,1,2025年度春学期,95
2.0単位,月1,週間授業,豊田　新,F06451 物理学基礎論Ⅰ 豊田 新,1,2025年度春学期,96
2.0単位,月1,週間授業,重松　利信,F06470 基盤物理学１ 重松 利信,1,2025年度春学期,97
2.0単位,月1,週間授業,重松　利信,F06471 物理学基礎論Ⅰ 重松 利信,1,2025年度春学期,98
2.0単位,月1,週間授業,村本　哲也,F06490 基盤物理学２ 村本 哲也,1,2025年度秋学期,99
2.0単位,月1,週間授業,村本　哲也,F06491 物理学Ⅱ 村本 哲也,1,2025年度秋学期,0
2.0単位,月1,週間授業,矢城　陽一朗,F06510 基盤物理学２ 矢城 陽一朗,1,2025年度秋学期,1
2.0単位,月1,週間授業,矢城　陽一朗,F06511 物理学Ⅱ 矢城 陽一朗,1,2025年度秋学期,2
2.0単位,月1,週間授業,稲垣　祐次,F06530 基盤物理学２ 稲垣 祐次,1,2025年度秋学期,3
2.0単位,月1,週間授業,稲垣　祐次,F06531 物理学基礎論Ⅱ 稲垣 祐次,1,2025年度秋学期,4
2.0単位,月1,週間授業,豊田　新,F06550 基盤物理学２ 豊田 新,1,2025年度秋学期,5
2.0単位,月1,週間授業,豊田　新,F06551 物理学基礎論Ⅱ 豊田 新,1,2025年度秋学期,6
2.0単位,月1,週間授業,重松　利信,F06570 基盤物理学２ 重松 利信,1,2025年度秋学期,7
2.0単位,月1,週間授業,重松　利信,F06571 物理学基礎論Ⅱ 重松 利信,1,2025年度秋学期,8
2.0単位,月4 月5,週間授業,稲垣　祐次／藤田　佳江／池長　志紋,F06750 基盤物理学実験 月45,1,2025年度春学期,9
2.0単位,月4 月5,週間授業,稲垣　祐次／藤田　佳江／池長　志紋,F06751 物理学基礎実験 月45,1,2025年度春学期,10
2.0単位,月4 月5,週間授業,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,F06760 基盤物理学実験 月45 稲垣祐次他,1,2025年度秋学期,11
2.0単位,月4 月5,週間授業,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,F06761 物理学基礎実験 月45 稲垣祐次他,1,2025年度秋学期,12
2.0単位,月4 月5,週間授業,坂根　弦太／堀越　亮／森　義裕／齋藤　亜沙実,F06800 基盤化学実験 月45,1,2025年度春学期,13
2.0単位,月4 月5,週間授業,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,F06840 基盤化学実験 月45,1,2025年度秋学期,14
2.0単位,月4 月5,週間授業,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,F06841 化学基礎実験 月45,1,2025年度秋学期,15
2.0単位,月4 月5,週間授業,佐藤　友彦／青木　一勝／山口　一裕,F06900 基盤地学実験 月45,1,2025年度秋学期,16
2.0単位,月4 月5,週間授業,佐藤　友彦／青木　一勝／山口　一裕,F06901 地学基礎実験 月45,1,2025年度秋学期,17
2.0単位,月3,週間授業,堀　純也,F07020 情報処理工学,1,2025年度春学期,18
2.0単位,月1,週間授業,杉山　正二,F07040 基礎英語 杉山正二,1,2025年度春学期,19
2.0単位,月1,週間授業,石田　美佐江,F07050 基礎英語 石田美佐江,1,2025年度春学期,20
2.0単位,月2,週間授業,西川　憲一,F07120 基盤英語（初級） 〔2年次以上〕,1,2025年度春学期,21
2.0単位,月1,週間授業,杉山　正二,F07140 基盤英語（初級）,1,2025年度秋学期,22
2.0単位,月2,週間授業,杉山　正二,F07150 基盤英語（初級）,1,2025年度秋学期,23
2.0単位,月2,週間授業,杉山　正二,F07250 基盤英語（準中級） 〔2年次以上〕,1,2025年度春学期,24
2.0単位,月1,週間授業,太田　由佳,F07270 基盤英語（準中級） 太田由佳,1,2025年度秋学期,25
2.0単位,月1,週間授業,伊野家　伸一,F07280 基盤英語（準中級） 伊野家伸一,1,2025年度秋学期,26
2.0単位,月2,週間授業,太田　由佳,F07290 基盤英語（準中級） 太田由佳,1,2025年度秋学期,27
2.0単位,月2,週間授業,伊野家　伸一,F07300 基盤英語（準中級） 伊野家伸一,1,2025年度秋学期,28
2.0単位,月2,週間授業,石田　美佐江,F07490 基盤英語（中級） 〔2年次以上〕,1,2025年度春学期,29
2.0単位,月1,週間授業,赤羽　美鳥,F07510 基盤英語（中級）,1,2025年度秋学期,30
2.0単位,月2,週間授業,赤羽　美鳥,F07520 基盤英語（中級）,1,2025年度秋学期,31
2.0単位,月2,週間授業,ジェーン　オハロラン,F07660 基盤英語（上級） 〔2年次以上〕,1,2025年度春学期,32
2.0単位,月1,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F07670 基盤英語（上級）,1,2025年度秋学期,33
2.0単位,月2,週間授業,ジェーン　オハロラン,F07680 基盤英語（上級）,1,2025年度秋学期,34
2.0単位,月1,週間授業,デイビッド　ニール,F07820 基礎英会話 デイビッド ニール,1,2025年度春学期,35
2.0単位,月2,週間授業,デイビッド　ニール,F07830 基礎英会話 デイビッド ニール,1,2025年度春学期,36
2.0単位,月3,週間授業,バーデン　京子,F07880 基礎英会話 バーデン京子,1,2025年度春学期,37
2.0単位,月4,週間授業,バーデン　京子,F07890 基礎英会話 バーデン京子,1,2025年度春学期,38
2.0単位,月3,週間授業,ジェーン　オハロラン,F08210 英語で文化 ジェーン オハロラン,1,2025年度春学期,39
2.0単位,月3,週間授業,西川　憲一,F08220 英語で文化 西川憲一,1,2025年度秋学期,40
2.0単位,月4,週間授業,ジェーン　オハロラン,F08280 英語コミュニケーション ジェーン オハロラン,1,2025年度秋学期,41
2.0単位,月3,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08300 英語コミュニケーション ジエイソン ベイデンメン,1,2025年度春学期,42
2.0単位,月1,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08310 英語コミュニケーション ジエイソン ベイデンメン,1,2025年度春学期,43
2.0単位,月3,週間授業,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,F08370 英語コミュニケーション ジエイソン ベイデンメン,1,2025年度秋学期,44
2.0単位,月2,週間授業,入江　祐加,F08480 初修外国語１ ドイツ語 入江 祐加,1,2025年度春学期,45
0.5単位,月2,週間授業(学期前半),入江　祐加,F08481 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,1,2025年度春学期,46
0.5単位,月2,週間授業(学期後半),入江　祐加,F08482 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,1,2025年度春学期,47
2.0単位,月3,週間授業,入江　祐加,F08500 初修外国語１ ドイツ語 入江 祐加,1,2025年度秋学期,48
0.5単位,月3,週間授業(学期前半),入江　祐加,F08501 ドイツ語ⅠＡ (前半)ドイツ語 入江 祐加,1,2025年度秋学期,49
0.5単位,月3,週間授業(学期後半),入江　祐加,F08502 ドイツ語ⅠＢ (後半)ドイツ語 入江 祐加,1,2025年度秋学期,50
2.0単位,月3,週間授業,楊　霊琳,F08810 初修外国語１ 中国語 楊 霊琳,1,2025年度春学期,51
0.5単位,月3,週間授業(学期前半),楊　霊琳,F08811 中国語ⅠＡ (前半)中国語 楊 霊琳,1,2025年度春学期,52
0.5単位,月3,週間授業(学期後半),楊　霊琳,F08812 中国語ⅠＢ (後半)中国語 楊 霊琳,1,2025年度春学期,53
2.0単位,月4,週間授業,楊　霊琳,F08820 初修外国語１ 中国語 楊 霊琳,1,2025年度春学期,54
0.5単位,月4,週間授業(学期前半),楊　霊琳,F08821 中国語ⅠＡ (前半)中国語 楊 霊琳,1,2025年度春学期,55
0.5単位,月4,週間授業(学期後半),楊　霊琳,F08822 中国語ⅠＢ (後半)中国語 楊 霊琳,1,2025年度春学期,56
2.0単位,月3,週間授業,楊　霊琳,F08850 初修外国語１ 中国語 楊 霊琳,1,2025年度秋学期,57
0.5単位,月3,週間授業(学期前半),楊　霊琳,F08851 中国語ⅠＡ (前半)中国語 楊 霊琳,1,2025年度秋学期,58
0.5単位,月3,週間授業(学期後半),楊　霊琳,F08852 中国語ⅠＢ (後半)中国語 楊 霊琳,1,2025年度秋学期,59
2.0単位,月5,週間授業,金子　明裕／川俣　昌大,F09290 ブドウ・ワイン概論,1,2025年度春学期,60
1.0単位,月5,週間授業(学期前半),金子　明裕／川俣　昌大,F09291 ワインの歴史と風土・文化 (前半),1,2025年度春学期,61
1.0単位,月5,週間授業(学期後半),金子　明裕／川俣　昌大,F09292 ワインの科学 (後半),1,2025年度春学期,62
2.0単位,月5,週間授業,金子　明裕／川俣　昌大,F09293 ブドウ・ワイン概論,1,2025年度春学期,63
2.0単位,月3,週間授業,高原　周一／木庭　雅保／米田　稔／上嶋　明／新原　隆史／重松　利信／糸山　嘉彦／春日　二郎／牧　涼介／吉木　才三,F09350 科学・工作ボランティア入門,1,2025年度春学期,64
2.0単位,月3,週間授業,高原　周一／木庭　雅保／米田　稔／上嶋　明／新原　隆史／重松　利信／糸山　嘉彦／春日　二郎／牧　涼介／吉木　才三,F09351 科学・工作ボランティア入門,1,2025年度春学期,65
2.0単位,月1,週間授業,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,F09470 リーダーシップ論,1,2025年度春学期,66
2.0単位,月1,週間授業,野間川内　一樹／安井　正也／中山　紘之／林　恒宏／横山　ひとみ,F09471 リーダーシップ論,1,2025年度春学期,67
2.0単位,月1,週間授業,加地　博子,F10690 教職のための物理,1,2025年度春学期,68
2.0単位,月3,週間授業,酒井　誠,F10700 教職のための化学,1,2025年度秋学期,69
2.0単位,月2,週間授業,青山　崇洋,F10790 データの数理Ⅰ,1,2025年度春学期,70
2.0単位,月3 木3,週間授業(学期前半),森　義之,F11090 微分積分学と演習Ⅲ (前半)月3木3 ＭＡクラス,1,2025年度秋学期,71
2.0単位,月4 木4,週間授業(学期前半),森　義之,F11100 微分積分学と演習Ⅲ (前半)月4木4 ＭＢクラス,1,2025年度秋学期,72
2.0単位,月3 木3,週間授業(学期後半),瓜屋　航太,F11110 微分積分学と演習Ⅳ (後半)月3木3 ＭＡクラス,1,2025年度秋学期,73
2.0単位,月4 木4,週間授業(学期後半),瓜屋　航太,F11120 微分積分学と演習Ⅳ (後半)月4木4 ＭＢクラス,1,2025年度秋学期,74
2.0単位,月3 木3,週間授業(学期前半),柴田　大樹,F11170 線型代数学と演習Ⅲ (前半)月3木3 ＭＢクラス,1,2025年度秋学期,75
2.0単位,月4 木4,週間授業(学期前半),柴田　大樹,F11180 線型代数学と演習Ⅲ (前半)月4木4 ＭＡクラス,1,2025年度秋学期,76
2.0単位,月3 木3,週間授業(学期後半),山田　紀美子,F11190 線型代数学と演習Ⅳ (後半)月3木3 ＭＢクラス,1,2025年度秋学期,77
2.0単位,月4 木4,週間授業(学期後半),山田　紀美子,F11200 線型代数学と演習Ⅳ (後半)月4木4 ＭＡクラス,1,2025年度秋学期,78
2.0単位,月1,週間授業,浜畑　芳紀,F11390 代数学と演習Ⅱ,1,2025年度秋学期,79
2.0単位,月2,週間授業,浜畑　芳紀,F11410 代数学と演習Ⅳ,1,2025年度秋学期,80
1.0単位,月2,週間授業(学期前半),浜畑　芳紀,F11411 代数学演習Ⅱａ (前半),1,2025年度秋学期,81
1.0単位,月2,週間授業(学期後半),浜畑　芳紀,F11412 代数学演習Ⅱｂ (後半),1,2025年度秋学期,82
2.0単位,月2,週間授業,阿部　拓,F11440 幾何学と演習Ⅲ,1,2025年度春学期,83
2.0単位,月1,週間授業,阿部　拓,F11510 形の数理Ⅱ,1,2025年度春学期,84
2.0単位,月3,週間授業,森　義之,F11570 計算機とアルゴリズムⅠ ＭＡクラス,1,2025年度春学期,85
2.0単位,月4,週間授業,森　義之,F11580 計算機とアルゴリズムⅠ ＭＢクラス,1,2025年度春学期,86
2.0単位,月1,週間授業,陰山　真矢,F11590 計算機とアルゴリズムⅡ ＭＡクラス,1,2025年度秋学期,87
2.0単位,月2,週間授業,陰山　真矢,F11600 計算機とアルゴリズムⅡ ＭＢクラス,1,2025年度秋学期,88
2.0単位,月3,週間授業,田邉　洋一,F11610 力学,1,2025年度春学期,89
2.0単位,月5,週間授業,伊代野　淳,F11670 情報システム概論Ⅱ,1,2025年度秋学期,90
2.0単位,月3,週間授業,中島　弘徳,F11720 学習・発達論,1,2025年度春学期,91
2.0単位,月3,週間授業,中島　弘徳,F11721 教育心理学,1,2025年度春学期,92
2.0単位,月1,週間授業,伊代野　淳,F11760 ネットワークとセキュリティーⅠ,1,2025年度秋学期,93
2.0単位,月2,週間授業,森　嘉久,F11770 ネットワークとセキュリティーⅡ,1,2025年度秋学期,94
2.0単位,月2,週間授業,齋藤　達昭／藤木　利之,F11810 環境科学,1,2025年度春学期,95
2.0単位,月1,週間授業,荒谷　督司,F11820 線形代数学Ⅲ,1,2025年度春学期,96
2.0単位,月1,週間授業,新原　隆史,F11860 環境地球化学,1,2025年度秋学期,97
2.0単位,月4,週間授業,稲葉　和正,F11900 教職のための数学Ⅰ,1,2025年度秋学期,98
2.0単位,月4 月5,週間授業,鎌滝　孝信／新原　隆史,F12000 地学実験 月45 ＳＢクラス,1,2025年度春学期,99
2.0単位,月4 月5,週間授業(学期前半),長渕　裕,F12130 解析学続論Ⅲ (前半)月45,1,2025年度秋学期,0
2.0単位,月4 月5,週間授業(学期後半),長渕　裕,F12140 解析学続論Ⅳ (後半)月45,1,2025年度秋学期,1
2.0単位,月1,週間授業,稲葉　和正,F12180 幾何学Ⅱ,1,2025年度秋学期,2
2.0単位,月4 月5,週間授業,藤木　利之／齋藤　達昭／中野　晏志,F12290 生物学実験 月45 ＳＡクラス,1,2025年度春学期,3
1.0単位,月4 月5,週間授業(学期前半),藤木　利之／齋藤　達昭／中野　晏志,F12291 生物学実験Ⅰ (前半)月45 ＳＡクラス,1,2025年度春学期,4
1.0単位,月4 月5,週間授業(学期後半),藤木　利之／齋藤　達昭／中野　晏志,F12292 生物学実験Ⅱ (後半)月45 ＳＡクラス,1,2025年度春学期,5
2.0単位,月1,週間授業,伊代野　淳,F12320 宇宙科学,1,2025年度春学期,6
2.0単位,月4,週間授業,加地　博子,F12370 基礎物理学Ⅰ ＳＡクラス,1,2025年度春学期,7
