曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月2,F04970 人間を読みとくＡ （文学）,三木　恒治,週間授業,2025年度秋学期,2.0単位,1
月2,F04971 文学Ａ (前半)（文学）,三木　恒治,週間授業(学期前半),2025年度秋学期,1.0単位,1
月2,F04972 文学Ｂ (後半)（文学）,三木　恒治,週間授業(学期後半),2025年度秋学期,1.0単位,1
月4,F04980 人間を読みとくＡ （文学）,三木　恒治,週間授業,2025年度秋学期,2.0単位,1
月4,F04981 文学Ａ (前半)（文学）,三木　恒治,週間授業(学期前半),2025年度秋学期,1.0単位,1
月4,F04982 文学Ｂ (後半)（文学）,三木　恒治,週間授業(学期後半),2025年度秋学期,1.0単位,1
月4,F05040 人間を読みとくＢ （倫理と宗教）,藤丸　智雄,週間授業,2025年度春学期,2.0単位,1
月4,F05041 倫理と宗教Ａ (前半)（倫理と宗教）,藤丸　智雄,週間授業(学期前半),2025年度春学期,1.0単位,1
月4,F05042 倫理と宗教Ｂ (後半)（倫理と宗教）,藤丸　智雄,週間授業(学期後半),2025年度春学期,1.0単位,1
月4,F05060 人間を読みとくＢ （倫理と宗教）,藤丸　智雄,週間授業,2025年度秋学期,2.0単位,1
月4,F05061 倫理と宗教Ａ (前半)（倫理と宗教）,藤丸　智雄,週間授業(学期前半),2025年度秋学期,1.0単位,1
月4,F05062 倫理と宗教Ｂ (後半)（倫理と宗教）,藤丸　智雄,週間授業(学期後半),2025年度秋学期,1.0単位,1
月1,F05070 人間を読みとくＢ （心理学）,鉄川　大健,週間授業,2025年度春学期,2.0単位,1
月1,F05071 心理学Ａ (前半)（心理学）,鉄川　大健,週間授業(学期前半),2025年度春学期,1.0単位,1
月1,F05072 心理学Ｂ (後半)（心理学）,鉄川　大健,週間授業(学期後半),2025年度春学期,1.0単位,1
月1,F05090 人間を読みとくＢ （心理学）,鉄川　大健,週間授業,2025年度秋学期,2.0単位,1
月1,F05091 心理学Ａ (前半)（心理学）,鉄川　大健,週間授業(学期前半),2025年度秋学期,1.0単位,1
月1,F05092 心理学Ｂ (後半)（心理学）,鉄川　大健,週間授業(学期後半),2025年度秋学期,1.0単位,1
月2,F05110 人間を読みとくＢ （心理学）鉄川大健,鉄川　大健,週間授業,2025年度春学期,2.0単位,1
