曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
水2,F22660 土質・岩盤力学 (後半),能美　洋介,週間授業(学期後半),2025年度秋学期,1.0単位,3
水4,F22720 地質図と天気図,能美　洋介／加藤　内藏進,週間授業,2025年度春学期,2.0単位,3
水3,F22760 地球科学概論,能美　洋介／藤田　将人／實吉　玄貴／志藤　あずさ,週間授業,2025年度秋学期,2.0単位,3
水3,F23050 初等家庭科内容論,原田　省吾,週間授業,2025年度春学期,2.0単位,3
水2,F23110 教育学原論,土井　貴子,週間授業,2025年度秋学期,2.0単位,3
水2,F23111 教育学原論,土井　貴子,週間授業,2025年度秋学期,2.0単位,3
水1,F23170 学校経営,金川　舞貴子,週間授業,2025年度秋学期,2.0単位,3
水2,F23270 図画工作科教育法,妻藤　純子,週間授業,2025年度春学期,2.0単位,3
水4,F23320 道徳教育の理論と方法（初等）,秋山　博正,週間授業,2025年度春学期,2.0単位,3
水1,F23500 ピアノ奏法Ⅰ （Ａ）,井本　美穂／矢木　裕子／早川　純平／津上　順子,週間授業,2025年度春学期,1.0単位,3
水2,F23510 ピアノ奏法Ⅰ （Ｂ）,井本　美穂／矢木　裕子／早川　純平／津上　順子,週間授業,2025年度春学期,1.0単位,3
水1,F23550 現代教育課題研究,北原　和明／奥村　弥生／長谷部　葉子／松岡　律／保森　智彦,週間授業,2025年度秋学期,2.0単位,3
水2,F23560 ＥＳＤ理論と実践,山下　浩之,週間授業,2025年度秋学期,2.0単位,3
水5,F23850 日本文学Ⅰ（古典）,加藤　伸江,週間授業,2025年度春学期,2.0単位,3
水2,F23890 漢文学Ⅰ,奥野　新太郎,週間授業,2025年度春学期,2.0単位,3
水3,F23940 現代英文法,藤城　孝輔,週間授業,2025年度秋学期,2.0単位,3
水3,F24030 英語科内容論Ｃ,長谷部　葉子,週間授業,2025年度春学期,2.0単位,3
水2,F24070 学校経営,金川　舞貴子,週間授業,2025年度秋学期,2.0単位,3
水2,F24160 英語科教育法Ⅳ,竹野　純一郎,週間授業,2025年度秋学期,2.0単位,3
水2,F24170 道徳教育の理論と方法,中尾　一郎,週間授業,2025年度春学期,2.0単位,3
水2,F24370 現代教育課題論,北原　和明／奥村　弥生／長谷部　葉子／松岡　律／保森　智彦,週間授業,2025年度春学期,2.0単位,3
水1,F24380 現代教育課題研究,北原　和明／松岡　律／保森　智彦,週間授業,2025年度秋学期,2.0単位,3
水4,F24440 探究ゼミⅡ,ダッタ　シャミ／（未定）,週間授業,"2025年度春学期
2025年度秋学期",1.0単位,3
水1,F24530 国語探究Ⅰ,笹井　香,週間授業,2025年度春学期,1.0単位,3
水2,F24600 国語科教育の内容と実践,奥野　新太郎／（未定）／福島　浩介／笹井　香,週間授業,2025年度秋学期,2.0単位,3
水3,F24630 英語文学史,西野　友一朗,週間授業,2025年度春学期,2.0単位,3
水1,F24720 現代日本語の多様性と運用 （春前半）,ダッタ　シャミ,週間授業(学期前半),2025年度春学期,1.0単位,3
水3,F24770 商学基礎,宮脇　靖典,週間授業,2025年度春学期,2.0単位,3
水2,F24920 経営組織,渡辺　圭史,週間授業,2025年度秋学期,2.0単位,3
水2,F24930 人的資源管理,渡辺　圭史,週間授業,2025年度春学期,2.0単位,3
水2,F24980 マクロ経済学,髙橋　良平,週間授業,2025年度春学期,2.0単位,3
水2,F25300 統計学基礎,森　裕一,週間授業,2025年度春学期,2.0単位,3
水3,F25350 意思決定論,渡辺　圭史,週間授業,2025年度春学期,2.0単位,3
水3,F25520 スポーツデータ実践講座,石田　恭生,週間授業,2025年度春学期,2.0単位,3
水1,F25560 スポーツトレーニング論,石田　恭生,週間授業,2025年度春学期,2.0単位,3
水3,F25570 スポーツコーチング論,安井　正也,週間授業,2025年度秋学期,2.0単位,3
水2,F28400 教職論 ③《教職》,田中　泰輔,週間授業,2025年度春学期,2.0単位,3
水4,F28410 教職論 ④《教職》,田中　泰輔,週間授業,2025年度春学期,2.0単位,3
水2,F28460 教育の方法と技術 ①物理・生科・工学部・情理対象 《教職》,津田　秀哲,週間授業,2025年度春学期,2.0単位,3
水3,F28470 教育の方法と技術 ②基礎理学科SA・化学科対象 《教職》,津田　秀哲,週間授業,2025年度春学期,2.0単位,3
水3,F28720 道徳教育の理論と方法 ⑤《教職》,松本　一郎,週間授業,2025年度秋学期,2.0単位,3
水5,F28840 教育実習実践指導 ③《教職》,中島　弘徳／平賀　徹／髙橋　信幸／赤﨑　哲也／皿田　琢司／坂口　武典／大月　一泰／石井　一郎／福田　博人／藤本　義博／松本　一郎／田中　泰輔,週間授業,2025年度春学期,2.0単位,3
水5,F28850 特別支援教育の基礎と方法 ①秋前半応用数学科ＭＡ対象 《教職》,篠田　千枝,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2,F28860 特別支援教育の基礎と方法 ②秋前半応用数学科ＭＢ対象 《教職》,堀部　淑惠,週間授業(学期前半),2025年度秋学期,1.0単位,3
水3,F28880 特別支援教育の基礎と方法 ④秋前半基礎理学科対象 《教職》,堀部　淑惠,週間授業(学期前半),2025年度秋学期,1.0単位,3
水4,F28890 特別支援教育の基礎と方法 ⑤秋後半 化学・物理・生科対象 《教職》,篠田　千枝,週間授業(学期後半),2025年度秋学期,1.0単位,3
水5,F29090 数学科教育法Ⅳ ①応用数学科対象《教職》,福田　博人／大月　一泰／石井　一郎,週間授業,2025年度秋学期,2.0単位,3
水2,F29270 教育行政学 《教職》,松本　一郎,週間授業,2025年度秋学期,2.0単位,3
水2,F29710 解析学と演習Ⅲ 2022年度以前入学生,辻川　亨,週間授業,2025年度春学期,2.0単位,3
水2,F29810 社会を読みとくＢ （過去と現在と未来の社会と物質）,堀越　亮／林　美帆／坂根　弦太,週間授業,2025年度春学期,2.0単位,3
水1,F29820 人間を読みとくＢ （倫理と宗教）,堀田　和義,週間授業,2025年度秋学期,2.0単位,3
水1,F29890 自然を読みとく （物理で読みとく星と地球）豊田新他,豊田　新／山内　大介／能美　洋介／畠山　唯達／大橋　唯太／新原　隆史／渡邉　誠／長尾　桂子／志藤　あずさ,週間授業,2025年度春学期,2.0単位,3
水2,F29980 モンゴル恐竜学概論,高橋　亮雄／辻極　秀次／高崎　竜司／實吉　玄貴／林　昭次／千葉　謙太郎,週間授業,2025年度春学期,2.0単位,3
水4,F30100 学びの基礎論１,淺野　純一,週間授業,2025年度春学期,2.0単位,3
水3,FV003170 社会を読みとくＡ （社会に潜む罠を知る）,平田　豊,週間授業,2025年度秋学期,2.0単位,3
水2,FVM00100 動物関連キャリア概論,齊藤　真也／井上　貴史／神田　卓弥／畑　明寿／木村　展之／中村　進一／米加田　徹／後藤　聡／豊後　貴嗣／大内　義光／小野　文子／水野　理介／村田　拓也／大西　章弘／清水　夕貴／齋藤　文代／作道　章一／横山　博／浅沼　武敏／久枝　啓一／井上　陽一／嘉手苅　将,週間授業(学期前半),2025年度春学期,1.0単位,3
水2,FVM00200 生命倫理学,齊藤　真也,週間授業(学期後半),2025年度春学期,1.0単位,3
火3 火4 火5 水3 水4 水5 木3 木4 木5,FVM00700 生命科学実習 【火～木】,江藤　真澄／近久　幸子／兒玉　朋子／荒木　真美／本間　健志／水野　理介／竹谷　浩介／千葉　秀一／松井　利康／村田　拓也／向田　昌司／田中　良法／野原　正勝,週間授業(学期前半),2025年度春学期,1.0単位,3
水2,FVM00900 生物物理学,齊藤　真也,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1,FVM01300 動物福祉論,木村　展之,週間授業(学期前半),2025年度春学期,1.0単位,3
月1 水1,FVM01500 獣医生化学 【月1水1】,江藤　真澄／竹谷　浩介／田中　良法,週間授業(学期後半),2025年度春学期,2.0単位,3
火3 火4 火5 水3 水4 水5 木3 木4 木5,FVM01600 獣医生化学実習 【火～木】,竹谷　浩介／近久　幸子／江藤　真澄／千葉　秀一／村田　拓也／田中　良法,週間授業(学期後半),2025年度春学期,1.0単位,3
水3 水4 水5 木3 木4 木5,FVM01800 獣医生理学実習 【水木】,村田　拓也／近久　幸子／江藤　真澄／竹谷　浩介／千葉　秀一／田中　良法,週間授業(学期後半),2025年度秋学期,1.0単位,3
月4 火3 火5 水4 木3 木5,FVM02100 獣医解剖学実習 【月～木】,松井　利康／荒木　真美／本間　健志／中村　進一／奥田　ゆう／嘉手苅　将,週間授業(学期後半),2025年度秋学期,2.0単位,3
水3 水4 水5 木3 木4 木5,FVM02200 獣医組織学実習 【水～木】,松井　利康／荒木　真美／本間　健志,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1 水2,FVM02400 獣医薬理学各論,水野　理介／向田　昌司／藤原　信行,週間授業(学期後半),2025年度春学期,2.0単位,3
月4 火3 火5 水4 木3 木5,FVM02500 獣医薬理学実習 【月～木】,向田　昌司／兒玉　朋子／水野　理介／齋藤　文代／藤原　信行／早川　晃司,週間授業(学期後半),2025年度春学期,1.0単位,3
月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,FVM02700 獣医微生物学実習 【月～木】,渡辺　俊平／小川　寛人／児島　一州／木村　展之／小野　文子／太田　奈保美／藤井　ひかる／鍬田　龍星,週間授業(学期前半),2025年度春学期,2.0単位,3
水1 水2,FVM02800 獣医毒性学,西木　禎一,週間授業(学期後半),2025年度秋学期,2.0単位,3
水1 水2,FVM02810 獣医毒性学,西木　禎一,週間授業(学期後半),2025年度秋学期,2.0単位,3
水3 水5 木4,FVM02900 獣医毒性学実習 【水木】,西木　禎一／兒玉　朋子／小野　岳人／東　恒仁／水野　理介／向田　昌司／藤原　信行／早川　晃司,週間授業(学期後半),2025年度秋学期,1.0単位,3
月3 月5 火4 水3 水5 木4,FVM03100 獣医実験動物学実習 【月～木】,梶川　修平／小野　岳人／片山　圭一／東　恒仁／邊見　弘明／藤原　信行／宮前　二朗／村上　康平／早川　晃司,週間授業(学期後半),2025年度春学期,1.0単位,3
水2,FVM03200 獣医病理学総論,杉山　晶彦,週間授業(学期前半),2025年度春学期,1.0単位,3
水3 水4,FVM03300 獣医病理学各論,杉山　晶彦／中村　進一,週間授業(学期前半),2025年度秋学期,2.0単位,3
月4 火3 火5 水4 木3 木5,FVM03400 獣医病理解剖学実習 【月～木】,嘉手苅　将／中村　進一／杉山　晶彦,週間授業(学期後半),2025年度春学期,1.0単位,3
水1 水2,FVM03600 獣医免疫学,邊見　弘明／宮前　二朗／村上　康平,週間授業(学期前半),2025年度秋学期,2.0単位,3
水1 水2,FVM03900 動物行動学,岩田　惠理,週間授業(学期前半),2025年度春学期,2.0単位,3
水1 水2,FVM04000 野生動物学,奥田　ゆう／谷地森　秀二,週間授業(学期後半),2025年度春学期,2.0単位,3
水3 水5 木4,FVM04300 魚病学実習 【水木】,横山　博／米加田　徹,週間授業(学期後半),2025年度春学期,1.0単位,3
月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,FVM05000 食品衛生学実習 【月～木】,作道　章一／神田　卓弥／太田　奈保美,週間授業(学期前半),2025年度春学期,1.0単位,3
水1,FVM05300 生産農学概論,豊後　貴嗣,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1 水2,FVM05400 水産増養殖学,米加田　徹,週間授業(学期後半),2025年度秋学期,2.0単位,3
水1 水2,FVM06500 獣医呼吸・循環器病学,杉本　佳介／田川　道人／望月　庸平,週間授業(学期後半),2025年度秋学期,2.0単位,3
水3,FVM07200 獣医眼科学,岡田　大輝,週間授業(学期後半),2025年度秋学期,1.0単位,3
水1,FVM07500 獣医外科学総論,神田　鉄平／佐伯　亘平／水谷　真也／糸井　崇将／新井　清隆,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2,FVM07600 獣医手術学総論,前田　憲孝／佐伯　亘平／朱　夏希／岡村　泰彦,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1 水2,FVM07900 獣医運動器病学,中嶋　幸生,週間授業(学期後半),2025年度春学期,2.0単位,3
火3 火4 火5 水3 水4 水5 木3 木4 木5 金3 金4 金5,FVM08200 小動物外科学実習 【火～金】,岡村　泰彦／酒井　治／吉竹　涼平／岡田　大輝／前田　憲孝／神田　鉄平／中村　有加里／佐伯　亘平／水谷　真也／朱　夏希／糸井　崇将／中嶋　幸生／新井　清隆,週間授業(学期後半),2025年度秋学期,1.5単位,3
水3 水4,FVM08400 産業動物臨床学,篠塚　康典／山本　直樹／後藤　聡／久枝　啓一／井上　陽一,週間授業(学期前半),2025年度春学期,2.0単位,3
月3 月4 月5 火3 火4 火5 水3 水4 水5 木3 木4 木5,FVM08700 産業動物臨床実習 【月～木】,篠塚　康典／山本　直樹／後藤　聡／久枝　啓一／井上　陽一,週間授業(学期後半),2025年度春学期,2.0単位,3
水2,FVM09000 総合獣医学演習Ⅱ,浅沼　武敏／田川　道人／酒井　治／陸　拾柒／吉竹　涼平／篠塚　康典／井上　貴史／小川　寛人／近久　幸子／兒玉　朋子／児島　一州／荒木　真美／山本　直樹／小野　岳人／神田　卓弥／岡田　大輝／畑　明寿／前田　憲孝／神田　鉄平／中村　有加里／佐伯　亘平／水谷　真也／朱　夏希／中村　進一／米加田　徹／後藤　聡／糸井　崇将／岡村　泰彦／奥田　ゆう／江藤　真澄／水野　理介／竹谷　浩介／松田　彬／千葉　秀一／杉山　晶彦／星　史雄／下川　孝子／村田　拓也／渡辺　俊平／大西　章弘／久楽　賢治／杉本　佳介／林　慶／向田　昌司／望月　庸平／齊藤　真也／深瀬　徹／西木　禎一／邊見　弘明／齋藤　文代／作道　章一／中嶋　幸生／太田　奈保美／梶川　修平／田中　良法／藤井　ひかる／藤原　信行／三河　翔馬／宮前　二朗／村上　康平／神林　康弘／鍬田　龍星／髙橋　秀和／久枝　啓一／早川　晃司／増田　恒幸／井上　陽一／新井　清隆／嘉手苅　将／小林　宏祐,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1,FVM09700 トランスレーショナル・リサーチ,齊藤　真也,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2,FVM10300 国際動物関連法規,畑　明寿／奥田　ゆう／渡邉　剛央／小林　忠資／太田　奈保美／鍬田　龍星,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2 金3,FVM10500 国際動物疾病学 【水2金3】,深瀬　徹／作道　章一,週間授業(学期後半),2025年度秋学期,1.0単位,3
水1,FVM11400 国際生物資源学,齋藤　文代／陸　拾柒／木村　展之／豊後　貴嗣／横山　博／神林　康弘,週間授業(学期後半),2025年度春学期,1.0単位,3
水4,FVM12300 免疫関連疾病学,村上　康平／宮前　二朗,週間授業(学期後半),2025年度秋学期,1.0単位,3
水3 水4 水5,FVM12600 総合臨床検査特別実習,星　史雄／田川　道人／酒井　治／吉竹　涼平／畑　明寿／中村　有加里／水谷　真也／朱　夏希／松田　彬／下川　孝子／小林　宏祐,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2,FVP00100 動物関連キャリア概論,齊藤　真也／井上　貴史／神田　卓弥／畑　明寿／木村　展之／中村　進一／米加田　徹／後藤　聡／豊後　貴嗣／大内　義光／小野　文子／水野　理介／村田　拓也／大西　章弘／清水　夕貴／齋藤　文代／作道　章一／横山　博／浅沼　武敏／久枝　啓一／井上　陽一／嘉手苅　将,週間授業(学期前半),2025年度春学期,1.0単位,3
月3 月4 月5 火3 水3 木3 木4 木5,FVP02200 動物薬理学実習 【月～木】,向田　昌司／兒玉　朋子／小野　岳人／東　恒仁／水野　理介／梶川　修平／藤原　信行,週間授業(学期前半),2025年度春学期,1.0単位,3
水3 水4,FVP03500 獣医疫学,太田　奈保美,週間授業(学期後半),2025年度春学期,2.0単位,3
水2,FVP03600 生産農学概論,豊後　貴嗣,週間授業(学期後半),2025年度春学期,1.0単位,3
水2 木3,FVP04000 動物看護学概論,佐伯　香織／古本　佳代,"週間授業(学期前半)
週間授業(学期後半)",2025年度秋学期,2.0単位,3
月2 月4 火1 火3 火5 水2 水4,FVP05800 病院動物看護実習 【月～水】,神田　鉄平／田川　道人／酒井　治／吉竹　涼平／前田　憲孝／佐伯　亘平／水谷　真也／朱　夏希／糸井　崇将／岡村　泰彦／松田　彬／星　史雄／大西　章弘／久楽　賢治／杉本　佳介／望月　庸平／清水　夕貴／宮部　真裕／三河　翔馬／佐伯　香織／新井　清隆／小林　宏祐,週間授業(学期後半),2025年度秋学期,2.0単位,3
水1 水2,FVP05900 野生動物学,奥田　ゆう,週間授業(学期後半),2025年度春学期,2.0単位,3
水1 水2,FVP05910 野生動物学 (再),奥田　ゆう,週間授業(学期後半),2025年度春学期,2.0単位,3
水1 水2,FVP06000 動物行動学,岩田　惠理,週間授業(学期前半),2025年度春学期,2.0単位,3
水1,FVP06500 トランスレーショナル・リサーチ,齊藤　真也,週間授業(学期前半),2025年度秋学期,1.0単位,3
水3,FVP07100 生殖工学,豊後　貴嗣／村田　拓也,週間授業(学期前半),2025年度秋学期,1.0単位,3
水4 木3,FVP10300 生命倫理・動物福祉,木村　展之,"週間授業(学期前半)
週間授業(学期後半)",2025年度春学期,2.0単位,3
水2 金1,FVP10700 動物形態機能学Ａ 【水2金1】,江藤　真澄,週間授業(学期後半),2025年度春学期,2.0単位,3
月1 水1,FVP10800 動物形態機能学Ｂ 【月1水1】,近久　幸子,週間授業(学期後半),2025年度春学期,2.0単位,3
水1,FVP11000 動物形態機能学Ｄ,松井　利康／荒木　真美／本間　健志,週間授業,2025年度秋学期,2.0単位,3
水3 水4 水5 木3 木4 木5,FVP11400 産業動物学実習 【水木】,久枝　啓一／木村　展之／後藤　聡／豊後　貴嗣／大内　義光／野原　正勝／井上　陽一,週間授業(学期後半),2025年度秋学期,1.0単位,3
水3,FVP11700 人と動物の関係学,松田　彬／朱　夏希,週間授業,2025年度春学期,2.0単位,3
水1 水2,FVP12600 動物感染症学Ｂ,邊見　弘明／宮前　二朗／村上　康平,週間授業(学期後半),2025年度春学期,2.0単位,3
月3 月4 火4 火5 水4 水5,FVP13000 公衆衛生学Ａ 【前:火水/後:月】,畑　明寿／作道　章一,"週間授業(学期前半)
週間授業(学期後半)",2025年度春学期,2.0単位,3
水3 水4 水5,FVP13500 動物内科看護学実習Ｂ,佐伯　香織／古本　佳代／豊後　貴嗣／大内　義光／清水　夕貴,週間授業(学期前半),2025年度秋学期,1.0単位,3
水4 木3 木5,FVP13600 動物内科看護学実習Ｃ 【水木】,畑　明寿／宮部　真裕／深瀬　徹／野原　正勝,週間授業(学期後半),2025年度春学期,1.0単位,3
月1 月3 月5 火2 火4 水1 水3 水5,FVP13900 動物外科看護学実習Ｂ 【月～水】,宮部　真裕／神田　鉄平／糸井　崇将／清水　夕貴,週間授業(学期後半),2025年度秋学期,1.0単位,3
水1 水2,FVP14200 動物臨床看護学各論Ｂ,糸井　崇将／松田　彬／小林　宏祐,週間授業(学期前半),2025年度秋学期,2.0単位,3
水3 水5 木4,FVP14500 動物臨床検査学実習 【水木】,畑　明寿／古本　佳代／宮部　真裕／深瀬　徹,週間授業(学期後半),2025年度春学期,1.0単位,3
月2 月4 火1 火3 火5 水2 水4,FVP15200 動物看護総合実習Ａ 【月～水】,神田　鉄平／田川　道人／酒井　治／吉竹　涼平／前田　憲孝／佐伯　亘平／水谷　真也／朱　夏希／糸井　崇将／岡村　泰彦／松田　彬／星　史雄／大西　章弘／久楽　賢治／杉本　佳介／望月　庸平／清水　夕貴／宮部　真裕／三河　翔馬／佐伯　香織／新井　清隆／小林　宏祐,週間授業(学期後半),2025年度秋学期,1.0単位,3
火1 火2 火3 火4 火5 水1 水2 水3 水4 水5,FVP15300 動物看護総合実習Ｂ 【火～水】,神田　鉄平／田川　道人／酒井　治／吉竹　涼平／前田　憲孝／佐伯　亘平／水谷　真也／朱　夏希／糸井　崇将／岡村　泰彦／松田　彬／星　史雄／大西　章弘／久楽　賢治／杉本　佳介／望月　庸平／清水　夕貴／宮部　真裕／三河　翔馬／佐伯　香織／新井　清隆／小林　宏祐,週間授業(学期前半),2025年度春学期,1.0単位,3
水1,M00020 マネジメント特論,渡辺　圭史,週間授業,2025年度春学期,2.0単位,3
水2,M00090 地域経済学特論,林　恒宏,週間授業,2025年度春学期,2.0単位,3
水3,M00100 マクロ経済学特論,髙橋　良平,週間授業,2025年度秋学期,2.0単位,3
水1,M00360 人類学特論,富岡　直人／洪　惠媛／三阪　一徳,週間授業,2025年度秋学期,2.0単位,3
水1,M00490 防災学特論,鎌滝　孝信,週間授業,2025年度春学期,2.0単位,3
水1,M00510 データ解析実践,森　嘉久,週間授業,2025年度春学期,2.0単位,3
水2,M00530 有機材料特論,東村　秀之,週間授業,2025年度春学期,2.0単位,3
水3,M00840 栽培植物学特論,池谷　祐幸／那須　浩郎,週間授業,2025年度春学期,2.0単位,3
水2,M00850 環境化学特論,猶原　順／齋藤　達昭／杉山　裕子,週間授業,2025年度春学期,2.0単位,3
水1,M00860 動物保全学特論,中本　敦,週間授業,2025年度秋学期,2.0単位,3
水2,M00930 動物生理遺伝学特論,託見　健／布目　三夫,週間授業,2025年度秋学期,2.0単位,3
水1,M00940 食品機能学特論,松浦　信康,週間授業,2025年度秋学期,2.0単位,3
水1,M00970 生体高分子特論,二見　翠／山口　悟,週間授業,2025年度春学期,2.0単位,3
水1,M00990 医療技術学特論,川端　晃幸／堀　純也,週間授業,2025年度秋学期,2.0単位,3
水2,M01000 組織解析技術特論,神吉　けい太／岩井　良輔,週間授業,2025年度春学期,2.0単位,3
水2,M01080 惑星科学特論,新原　隆史,週間授業,2025年度春学期,2.0単位,3
水3,M01180 量子物性特論Ⅱ,今井　剛樹,週間授業,2025年度春学期,2.0単位,3
水3,M01320 科学技術倫理特論 (前半),中谷　達行,週間授業(学期前半),2025年度秋学期,1.0単位,3
水2,M01350 ユニバーサルデザイン特論 (後半),松浦　洋司,週間授業(学期後半),2025年度秋学期,1.0単位,3
水1,M01360 色彩工学特論 (前半),上田　千晶,週間授業(学期前半),2025年度春学期,1.0単位,3
水2,M01370 知的ネットワークコンピューティング特論 (後半),小田　哲也,週間授業(学期後半),2025年度春学期,1.0単位,3
水2,M01390 情報セキュリティ特論 (前半),木戸　善之,週間授業(学期前半),2025年度秋学期,1.0単位,3
水1,M01410 データ工学特論 (後半),尾崎　亮,週間授業(学期後半),2025年度秋学期,1.0単位,3
水3,M01420 信頼性工学特論 (後半),松下　尚史,週間授業(学期後半),2025年度春学期,1.0単位,3
水3,M01430 シミュレーション科学特論 (後半),矢城　陽一朗,週間授業(学期後半),2025年度秋学期,1.0単位,3
水3,M01720 粉体工学特論,押谷　潤,週間授業,2025年度春学期,2.0単位,3
水2,M01970 住宅計画特論,納村　信之,週間授業,2025年度秋学期,2.0単位,3
水1,M02010 設計方法特論,八百板　季穂,週間授業,2025年度秋学期,2.0単位,3
水2,M02100 映像処理特論,江本　正喜,週間授業,2025年度秋学期,2.0単位,3
水2,M02160 Web工学特論,廣田　雅春,週間授業,2025年度春学期,2.0単位,3
水1,M02250 情報復元特論,綴木　馴,週間授業,2025年度秋学期,2.0単位,3
水1,M02640 工学総合演習,垣谷　公徳／矢城　陽一朗,週間授業,2025年度春学期,2.0単位,3
火1 水1,P00020 日本語Ⅰ（文型・文法Ａ１） 【火1水1】初級,森谷　美香／益谷　美香,週間授業,2025年度春学期,4.0単位,3
火1 水1,P00030 日本語Ⅰ（文型・文法Ａ１） 【火1水1】初中級,魚井　花誉／比江島　玲子,週間授業,2025年度春学期,4.0単位,3
火1 水1,P00040 日本語Ⅰ（文型・文法Ａ２） 【火1水1】中級,谷野　範子,週間授業,2025年度春学期,4.0単位,3
火1 水1,P00050 日本語Ⅰ（文型・文法Ｂ１） 【火1水1】初中級,魚井　花誉／比江島　玲子,週間授業,2025年度秋学期,4.0単位,3
火1 水1,P00060 日本語Ⅰ（文型・文法Ｂ２） 【火1水1】上級,谷野　範子,週間授業,2025年度秋学期,4.0単位,3
火3 水3,P00370 日本語Ⅶ（試験対策Ａ１） 【火3水3】初級,宮口　徹也／森谷　美香,週間授業,2025年度春学期,4.0単位,3
火3 水3,P00380 日本語Ⅶ（試験対策Ａ１） 【火3水3】初中級,森谷　美香／益谷　美香,週間授業,2025年度春学期,4.0単位,3
木1,F01340 専門英語ⅠＡ (電シ) (前半) 加地博子,加地　博子,週間授業(学期前半),2025年度春学期,0.5単位,4
木1,F01341 専門英語ⅠＢ (電シ) (後半) 加地博子,加地　博子,週間授業(学期後半),2025年度春学期,0.5単位,4
木1,F01342 専門英語Ⅰ (電シ) 加地博子,加地　博子,週間授業,2025年度春学期,2.0単位,4
木1,F01420 専門英語ⅠＡ (生化・臨床・医工)(前半)原村昌幸他,原村　昌幸／山口　悟／松浦　宏治／福井　康祐,週間授業(学期前半),2025年度春学期,0.5単位,4
木1,F01421 専門英語ⅠＢ (生化・臨床・医工)(後半)原村昌幸他,原村　昌幸／山口　悟／松浦　宏治／福井　康祐,週間授業(学期後半),2025年度春学期,0.5単位,4
木1,F01422 専門英語 (生科・生化・臨床・医工)原村昌幸他,原村　昌幸／山口　悟／松浦　宏治／福井　康祐,週間授業,2025年度春学期,2.0単位,4
木1,F01490 専門英語ⅡＡ (建築)(前半)八百板季穂他,八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／中西　啓二／馬淵　大宇／増田　俊哉,週間授業(学期前半),2025年度秋学期,0.5単位,4
木4,F01510 専門英語ⅡＡ (生化)(前半),濱田　隆宏,週間授業(学期前半),2025年度秋学期,0.5単位,4
木1,F01520 専門英語ⅡＡ (電シ)(前半)加地博子,加地　博子,週間授業(学期前半),2025年度秋学期,0.5単位,4
木1,F01521 専門英語ⅡＢ (電シ)(後半)加地博子,加地　博子,週間授業(学期後半),2025年度秋学期,0.5単位,4
木1,F01522 専門英語Ⅱ (電シ)加地博子,加地　博子,週間授業,2025年度秋学期,2.0単位,4
木1,F01620 専門英語ⅡＢ (建築)(後半)八百板季穂他,八百板　季穂／中山　哲士／小林　正実／弥田　俊男／坂本　和彦／平山　文則／堀田　洋之／納村　信之／中西　啓二／馬淵　大宇／増田　俊哉,週間授業(学期後半),2025年度秋学期,0.5単位,4
木4,F01640 専門英語ⅡＢ (生化)(後半),濱田　隆宏,週間授業(学期後半),2025年度秋学期,0.5単位,4
木2,F02710 フレッシュマンセミナー 中等,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02720 フレッシュマンセミナー 中等（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02730 フレッシュマンセミナー 初等,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02740 フレッシュマンセミナー 初等（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02750 フレッシュマンセミナー 動物,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02760 フレッシュマンセミナー 動物（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F02900 フレッシュマンセミナー 恐竜学科,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F03020 フレッシュマンセミナー 生地,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木2,F03030 フレッシュマンセミナー 生地（再履修用）,野間川内　一樹／河野　敏行／中山　紘之／平田　豊,週間授業,2025年度春学期,2.0単位,4
木1,F03370 アサーティブ・コミュニケーション,中山　紘之,週間授業,2025年度春学期,2.0単位,4
木1,F03390 アサーティブ・コミュニケーション,中山　紘之,週間授業,2025年度秋学期,2.0単位,4
木4,F03550 理解と表現 留学生対象,佐藤　美穂,週間授業,2025年度秋学期,2.0単位,4
